(2025.7.13.17.58, 개개리/90/16, 장비, 기개굴모자, 무, 0, 10, 60)
(2025.8.28.18.44, 자몽farm/90/60, 장비, 기개굴모자, 무, 6, 10, 90)
(2025.8.28.21.47, 뽀솜천사/90, 장비, 기개굴모자, 무, 6, 10, 90)
(2025.8.4.15.57, 마녀마뇨/90, 장비, 기고마머리, 무, 0, 10, 280)
(2025.8.26.11.05, Ryvan/90, 장비, 기고마머리, 무, 0, 10, 250)
(2025.10.7.20.00, 문쭌/90, 장비, 기고마머리, 무, 0, 10, 220)
(2025.10.28.18.39, 웅담/90/11, 장비, 기고마머리, 무, 0, 10, 250)
(2025.8.4.13.17, 꽃귤밭/90, 장비, 기고마머리, 추기, 9, 10, 3800)
(2025.4.1.22.54, 뿌이꼰듀 / 90, 장비, 기고마상의, 무, 0, 10, 200)
(2025.4.3.00.29, qwatturup/90/100, 장비, 기고마상의, 무, 0, 10, 230)
(2025.8.25.21.24, ID화둔/90, 장비, 기고마상의, 무, 0, 10, 230)
(2025.8.26.15.58, dklfp/90, 장비, 기고마상의, 무, 0, 10, 220)
(2025.9.11.14.04, 맨옹/90, 장비, 기고마상의, 무, 0, 10, 240)
(2025.9.18.15.51, 호면/90/정9/🐥50, 장비, 기고마상의, 무, 0, 10, 240)
(2025.9.26.19.57, Bidan2/90, 장비, 기고마상의, 무, 0, 10, 230)
(2025.10.2.15.34, Bidan2/90, 장비, 기고마상의, 무, 0, 10, 220)
(2025.10.19.19.05, Real농사왕/90, 장비, 기고마상의, 무, 0, 10, 220)
(2025.10.27.12.31, sary2/71, 장비, 기고마상의, 무, 0, 10, 200)
(2025.4.23.11.09, 에잇12/70, 장비, 기고마하의, 무, 0, 10, 200)
(2025.4.23.11.42, 꿀초롱 / 90, 장비, 기고마하의, 무, 0, 10, 200)
(2025.7.24.16.43, 애바애/78/정6/초보탐작/He, 장비, 기고마하의, 무, 0, 10, 220)
(2025.8.25.21.24, ID화둔/90, 장비, 기고마하의, 무, 0, 10, 230)
(2025.8.26.15.58, dklfp/90, 장비, 기고마하의, 무, 0, 10, 220)
(2025.9.11.14.04, 맨옹/90, 장비, 기고마하의, 무, 0, 10, 240)
(2025.9.18.15.51, 호면/90/정9/🐥50, 장비, 기고마하의, 무, 0, 10, 240)
(2025.9.26.19.57, Bidan2/90, 장비, 기고마하의, 무, 0, 10, 230)
(2025.10.2.15.34, Bidan2/90, 장비, 기고마하의, 무, 0, 10, 220)
(2025.10.19.19.05, Real농사왕/90, 장비, 기고마하의, 무, 0, 10, 220)
(2025.10.27.12.31, sary2/71, 장비, 기고마하의, 무, 0, 10, 200)
(2025.12.15.18.42, 귀농코코아 / 90, 장비, 기고마하의, 무, 0, 10, 230)
(2025.12.16.20.05, 쑈꼰/88, 장비, 기고마하의, 무, 0, 10, 230)
(2025.3.30.00.51, 듀니스/90, 장비, 기고마하의, 무, 9, 9, 300)
(2025.3.27.08.37, 듀니스/90, 장비, 기고마하의, 잡, 9, 9, 600)
(2025.3.29.08.23, 듀니스/90, 장비, 기고마하의, 잡, 9, 9, 400)
(2025.3.29.15.15, 듀니스/90, 장비, 기고마하의, 잡, 9, 9, 350)
(2025.3.30.13.11, 듀니스/90, 장비, 기고마하의, 잡, 9, 9, 250)
(2025.5.18.21.07, jh8316/90 /제이, 장비, 기고마하의, 잡, 9, 9, 300)
(2025.3.12.11.06, 세미퐁 /90, 장비, 기고마하의, 종자[2-5], 9, 9, 1500)
(2025.3.14.10.50, 세미퐁 /90, 장비, 기고마하의, 종자[2-5], 9, 9, 1500)
(2025.3.29.10.32, 옆집옵하/90, 장비, 기고마하의, 종자[2-5], 9, 9, 1500)
(2025.3.27.13.35, 세미퐁 /90, 장비, 기고마하의, 종자[2-5], 10, 10, 1500)
(2025.2.28.00.17, 헤이시아/90, 장비, 기네온머리, 일체, 9, 9, 350)
(2025.3.2.12.27, 롤체/87, 장비, 기네온머리, 일체, 9, 9, 350)
(2025.3.5.11.47, 헤이시아/90, 장비, 기네온머리, 일체, 9, 9, 300)
(2025.3.8.00.04, 헤이시아/90, 장비, 기네온머리, 일체, 9, 9, 250)
(2025.3.8.13.13, 미나리왕자님 / 88 / 정14, 장비, 기네온머리, 일체, 9, 9, 250)
(2025.3.9.12.59, 헤이시아/90, 장비, 기네온머리, 일체, 9, 9, 250)
(2025.3.10.18.46, 히스티딘/87/9/강화안함진짜안함, 장비, 기네온머리, 일체, 9, 9, 200)
(2025.5.20.23.30, 새벽끝/90/정8/🦆11, 장비, 기네온머리, 추기, 8, 8, 200)
(2025.5.22.20.31, 새벽끝/90/정8/🦆11, 장비, 기네온머리, 추기, 8, 8, 150)
(2025.5.24.09.49, 새벽끝/90/정8/🦆11, 장비, 기네온머리, 추기, 8, 8, 150)
(2025.4.20.18.55, 센불/90, 장비, 기네온머리, 추기, 8, 10, 700)
(2025.2.15.04.09, 그아이일까/90/38, 장비, 기네온머리, 추기, 9, 9, 800)
(2025.4.16.00.34, 히스티딘/87/9/강화안함진짜안함, 장비, 기네온머리, 향추기, 7, 10, 850)
(2025.7.2.10.58, 곰돌이네가족/90, 장비, 기네온머리, 향추기, 8, 8, 300)
(2025.7.3.06.40, 츠밍/90, 장비, 기네온머리, 향추기, 8, 8, 200)
(2025.7.26.03.28, 유뱅a/90, 장비, 기네온머리, 향추기, 8, 8, 150)
(2025.7.29.21.31, 마녀마뇨/90, 장비, 기네온머리, 향추기, 8, 8, 100)
(2025.8.16.11.28, noony, 장비, 기네온머리, 향추기, 9, 9, 700)
(2025.3.28.20.34, 깜뿡이 / 67, 장비, 기네온머리, 향쿱, 8, 8, 600)
(2025.3.28.22.10, 건승준/90, 장비, 기네온머리, 향쿱, 8, 8, 700)
(2025.3.29.15.15, 듀니스/90, 장비, 기네온머리, 향쿱, 8, 8, 650)
(2025.3.29.22.06, Ggbhi, 장비, 기네온머리, 향쿱, 8, 8, 550)
(2025.3.30.16.46, 서폿현지인/90, 장비, 기네온머리, 향쿱, 8, 8, 500)
(2025.3.30.22.33, 애바애/78/정6/초보탐작/He, 장비, 기네온머리, 향쿱, 8, 8, 500)
(2025.4.1.14.57, 롤체/87, 장비, 기네온머리, 향쿱, 8, 8, 450)
(2025.4.1.16.40, 천상대협 / 90, 장비, 기네온머리, 향쿱, 8, 8, 600)
(2025.2.15.04.09, 그아이일까/90/38, 장비, 기네온부츠, 추기, 9, 9, 800)
(2025.3.28.22.10, 건승준/90, 장비, 기네온부츠, 쿱, 9, 9, 900)
(2025.3.29.15.15, 듀니스/90, 장비, 기네온부츠, 쿱, 9, 9, 850)
(2025.3.29.22.06, Ggbhi, 장비, 기네온부츠, 쿱, 9, 9, 750)
(2025.3.30.16.46, 서폿현지인/90, 장비, 기네온부츠, 쿱, 9, 9, 700)
(2025.3.30.22.33, 애바애/78/정6/초보탐작/He, 장비, 기네온부츠, 쿱, 9, 9, 700)
